index,club
Adamczyk Andrzej,PiS
Andzel Waldemar,PiS
Arciszewska-Mielewczyk Dorota,PiS
Ardanowski Jan Krzysztof,PiS
Arent Iwona,PiS
Ast Marek,PiS
Babalski Zbigniew,PiS
Babinetz Piotr,PiS
Badora Maciej,PiS
Bartosik Ryszard,PiS
Bartuś Barbara,PiS
Baszko Mieczysław Kazimierz,PiS
Bąk Dariusz,PiS
Bernacki Włodzimierz,PiS
Bielecki Jerzy,PiS
Biernat Zbigniew,PiS
Błaszczak Mariusz,PiS
Bogucki Jacek,PiS
Borowiak Joanna,PiS
Borowiec Agata,PiS
Bortniczuk Kamil,PiS
Borys-Szopa Bożena,PiS
Bubula Barbara,PiS
Buczak Wojciech,PiS
Buda Waldemar,PiS
Burzyńska Lidia,PiS
Chmielowiec Zbigniew,PiS
Chruszcz Sylwester,PiS
Cicholska Anna,PiS
Cichosz Lucjan,PiS
Ciebiada Krzysztof,PiS
Cieślak Michał,PiS
Cymański Tadeusz,PiS
Czabański Krzysztof,PiS
Czarnecki Przemysław,PiS
Czarnecki Witold,PiS
Czartoryski Arkadiusz,PiS
Czech Anna,PiS
Czerwińska Anita,PiS
Czochara Katarzyna,PiS
Dobrzyński Leszek,PiS
Dolata Zbigniew,PiS
Duda Antoni,PiS
Duda Elżbieta,PiS
Duda Jan,PiS
Duszek Marcin,PiS
Dutkiewicz Katarzyna,PiS
Dworczyk Michał,PiS
Dziedziczak Jan,PiS
Dziuba Tadeusz,PiS
Dziuk Barbara,PiS
Falfus Jacek,PiS
Filipiak Ewa,PiS
Galemba Leszek,PiS
Gawron Andrzej,PiS
Giżyński Szymon,PiS
Glenc Teresa,PiS
Gliński Piotr,PiS
Głuchowski Krzysztof,PiS
Golińska Małgorzata,PiS
Gołojuch Kazimierz,PiS
Gonciarz Jarosław,PiS
Gosiewska Małgorzata,PiS
Gosiewski Jerzy,PiS
Gowin Jarosław,PiS
Gryglas Zbigniew,PiS
Gwiazdowski Kazimierz,PiS
Hajos Sławomir,PiS
Hałas Teresa,PiS
Horała Marcin,PiS
Hrynkiewicz Józefa,PiS
Jach Michał,PiS
Janczyk Wiesław,PiS
Janik Grzegorz,PiS
Janowska Małgorzata,PiS
Jędrysek Mariusz Orion,PiS
Kaczmarczyk Norbert,PiS
Kaczorowska Alicja,PiS
Kaczyński Jarosław,PiS
Kaleta Piotr,PiS
Kałaska Adam,PiS
Kamiński Mariusz,PiS
Kilian Jan,PiS
Kołakowski Lech,PiS
Kołakowski Robert,PiS
Kossakowski Wojciech,PiS
Kosztowniak Andrzej,PiS
Kowalczyk Henryk,PiS
Kownacki Bartosz,PiS
Kozanecka Ewa,PiS
Kozik Krzysztof Janusz,PiS
Krajewski Jarosław,PiS
Krajewski Wiesław,PiS
Krasulski Leonard,PiS
Król Piotr,PiS
Krupka Anna,PiS
Kryj Andrzej,PiS
Krynicka Bernadeta,PiS
Kubiak Dariusz,PiS
Kubiak Marta,PiS
Kubów Krzysztof,PiS
Kuchciński Marek,PiS
Kurzępa Jacek,PiS
Kwiecień Anna,PiS
Kwitek Marek,PiS
Latos Tomasz,PiS
Latosiński Bogdan,PiS
Leśniak Józef,PiS
Lichocka Joanna,PiS
Lipiec Krzysztof,PiS
Lipiński Adam,PiS
Lisiecki Paweł,PiS
Lorek Grzegorz,PiS
Ławniczak Tomasz,PiS
Machałek Marzena,PiS
Maciejewski Krzysztof,PiS
Macierewicz Antoni,PiS
Malik Ewa,PiS
Małecki Jerzy,PiS
Małecki Maciej,PiS
Masłowska Gabriela,PiS
Materna Jerzy,PiS
Mateusiak-Pielucha Beata,PiS
Matusiak Grzegorz,PiS
Matusiewicz Andrzej,PiS
Matuszewski Marek,PiS
Matuszny Kazimierz,PiS
Melak Andrzej,PiS
Miazga Mieczysław,PiS
Michałek Iwona,PiS
Michałkiewicz Krzysztof,PiS
Milczanowska Anna,PiS
Milewski Daniel,PiS
Mosiński Jan,PiS
Moskal Kazimierz,PiS
Mrówczyński Aleksander,PiS
Mucha Rafał,PiS
Mularczyk Arkadiusz,PiS
Murdzek Wojciech,PiS
Müller Piotr,PiS
Naimski Piotr,PiS
Naszkiewicz Jerzy,PiS
Nowak Maria,PiS
Nowicka Danuta,PiS
Olejniczak Waldemar,PiS
Olszówka Piotr,PiS
Ołdakowski Adam,PiS
Opioła Marek,PiS
Ostrowski Krzysztof,PiS
Osuch Jacek,PiS
Paluch Anna,PiS
Paul Jerzy,PiS
Pawłowicz Krystyna,PiS
Piechowiak Grzegorz,PiS
Piontkowski Dariusz,PiS
Piotrowicz Stanisław,PiS
Płonka Elżbieta Teresa,PiS
Polaczek Jerzy,PiS
Polak Marek,PiS
Polak Piotr,PiS
Porzucek Marcin,PiS
Puda Grzegorz,PiS
Pyzik Piotr,PiS
Raczak Grzegorz,PiS
Rusecka Urszula,PiS
Rychlik Paweł,PiS
Rzymkowski Tomasz,PiS
Sasin Jacek,PiS
Sasin Roman,PiS
Schmidt-Rodziewicz Anna,PiS
Schreiber Łukasz,PiS
Sellin Jarosław,PiS
Siarka Edward,PiS
Siarkowska Anna Maria,PiS
Sitarski Krzysztof,PiS
Skurkiewicz Wojciech,PiS
Skwarek Sławomir,PiS
Smirnow Andrzej,PiS
Smoliński Kazimierz,PiS
Sobecka Anna Elżbieta,PiS
Sobierajski Czesław,PiS
Soboń Artur,PiS
Soin Agnieszka,PiS
Sośnierz Andrzej,PiS
Sprawka Lech,PiS
Stachowiak-Różecka Mirosława,PiS
Strzałkowski Stefan,PiS
Suski Marek,PiS
Szałabawka Artur,PiS
Szarama Wojciech,PiS
Szczurek-Żelazko Józefa,PiS
Szefernaker Paweł,PiS
Szewczak Jan,PiS
Szlachta Andrzej,PiS
Szulowski Krzysztof,PiS
Szwed Stanisław,PiS
Szydełko Halina,PiS
Szymańska Ewa,PiS
Szynkowski vel Sęk Szymon,PiS
Szyszko Jan,PiS
Śniadek Janusz,PiS
Śnieżek Adam,PiS
Świat Jacek,PiS
Tarczyński Dominik,PiS
Tchórzewski Krzysztof,PiS
Telus Robert,PiS
Terlecki Ryszard,PiS
Tomaszewska Ewa,PiS
Trepka Mariusz,PiS
Tułajew Sylwester,PiS
Uruski Piotr,PiS
Uściński Piotr,PiS
Wargocka Teresa,PiS
Warwas Robert,PiS
Warzecha Jan,PiS
Wassermann Małgorzata,PiS
Wąsik Maciej,PiS
Weber Rafał,PiS
Wilk Jerzy,PiS
Witek Elżbieta,PiS
Wnorowski Henryk,PiS
Wojtkiewicz Michał,PiS
Woźniak Grzegorz Adam,PiS
Woźniak Tadeusz,PiS
Wójcik Michał,PiS
Wróblewska Krystyna,PiS
Wróblewski Bartłomiej,PiS
Wypych Małgorzata,PiS
Zagórski Marek,PiS
Zaremba Krzysztof,PiS
Zasada Artur,PiS
Zawiślak Sławomir,PiS
Zbonikowski Łukasz,PiS
Zieliński Jarosław,PiS
Zieliński Tomasz,PiS
Ziobro Zbigniew,PiS
Zuba Maria,PiS
Zubowski Wojciech,PiS
Zyska Ireneusz,PiS
Żalek Jacek,PiS
Ajchler Zbigniew,PO-KO
Arndt Paweł,PO-KO
Augustyn Urszula,PO-KO
Augustynowska Joanna,PO-KO
Aziewicz Tadeusz,PO-KO
Bańkowski Paweł,PO-KO
Białkowska Anna,PO-KO
Borowczak Jerzy,PO-KO
Brejza Krzysztof,PO-KO
Budka Borys,PO-KO
Bukiewicz Bożenna,PO-KO
Chmiel Małgorzata,PO-KO
Chybicka Alicja,PO-KO
Cichoń Janusz,PO-KO
Cieśliński Piotr,PO-KO
Cimoszewicz Tomasz,PO-KO
Cyrański Adam,PO-KO
Czernow Zofia,PO-KO
Czerwiński Andrzej,PO-KO
Dąbrowska Alicja,PO-KO
Dolniak Barbara,PO-KO
Drozd Ewa,PO-KO
Dunin Artur,PO-KO
Dzikowski Waldy,PO-KO
Fabisiak Joanna,PO-KO
Frydrych Joanna,PO-KO
Furgo Grzegorz,PO-KO
Gadowski Krzysztof,PO-KO
Gajewska Kinga,PO-KO
Gapińska Elżbieta,PO-KO
Gasiuk-Pihowicz Kamila,PO-KO
Gawlik Zdzisław,PO-KO
Gawłowski Stanisław,PO-KO
Gądek Lidia,PO-KO
Gelert Elżbieta,PO-KO
Gierada Artur,PO-KO
Głogowski Tomasz,PO-KO
Golbik Marta,PO-KO
Grabarczyk Cezary,PO-KO
Grabiec Jan,PO-KO
Grupiński Rafał,PO-KO
Hanajczyk Agnieszka,PO-KO
Henczyca Bożena,PO-KO
Hennig-Kloska Paulina,PO-KO
Hibner Jolanta,PO-KO
Hok Marek,PO-KO
Janyska Maria Małgorzata,PO-KO
Jaros Michał,PO-KO
Kamińska Bożena,PO-KO
Karpiński Włodzimierz,PO-KO
Kidawa-Błońska Małgorzata,PO-KO
Kierwiński Marcin,PO-KO
Kluzik-Rostkowska Joanna,PO-KO
Kobyliński Paweł,PO-KO
Kochan Magdalena,PO-KO
Kołacz-Leszczyńska Agnieszka,PO-KO
Kołodziej Ewa,PO-KO
Konwiński Zbigniew,PO-KO
Korol Adam,PO-KO
Korzeniowski Leszek,PO-KO
Kosecki Roman Jacek,PO-KO
